commit_hash,commit_size,files_changed,test_coverage,past_failures,dependency_changes,author_experience,time_of_commit,build_time,build_outcome
abc000076,100,1,60.03436585118662,2,1,74,6,301.93034457516814,1
abc000077,10,2,49.31458860663828,1,1,48,6,268.25757435899226,0
abc000078,20,25,83.80069316392414,2,0,96,6,104.24149342711664,0
abc000079,10,5,45.83907010022303,2,1,31,12,48.525808228559995,0
abc000080,100,1,78.46480143080899,1,0,34,18,137.93363749744722,0
abc000081,50,1,46.33329758545287,1,0,87,6,160.94440005590346,0
abc000082,20,2,73.77311189681177,5,0,135,12,297.2108174526681,0
abc000083,10,10,82.29547869903203,1,0,83,6,737.8726129337024,0
abc000084,20,3,45.30997222345775,6,0,135,6,11.056710430122003,0
abc000085,20,2,34.19603106029158,4,0,47,18,83.77968215802815,1
abc000086,50,1,39.16816200959219,2,0,136,12,64.59575088913499,0
abc000087,50,3,72.41978770897178,1,0,129,6,209.32396766716954,0
abc000088,100,5,89.46124843580148,1,0,125,12,168.47824678231132,1
abc000089,20,2,33.14977748647971,3,1,77,12,391.73259030764905,0
abc000090,10,5,81.39058813291524,2,1,3,6,83.28622236538475,0
abc000091,50,25,53.892305216503644,1,0,181,6,270.78911256737325,1
abc000092,100,1,63.496985894366574,4,0,92,0,645.8806074288677,1
abc000093,50,3,95.02016848918959,2,0,166,18,724.6513647395224,0
abc000094,100,2,53.238005331509186,1,0,179,6,956.6830262106005,0
abc000095,20,5,62.573585375764026,3,0,143,0,445.1869120402656,1
abc000096,20,3,30.95776903324768,2,0,100,18,709.2995544502976,1
abc000097,20,3,35.71191040033869,4,0,127,6,80.17991816250253,0
abc000098,10,5,48.10141137943488,4,0,195,12,66.03728828983357,0
abc000099,10,2,31.94965685747521,1,0,192,18,1.952766864162251,1
abc000100,10,10,74.19627282337757,4,0,68,12,368.11548230698435,1
abc000101,50,3,59.847884976113576,0,1,133,0,831.6191595064025,0
abc000102,20,1,68.37016419096153,3,0,90,6,62.08339386071416,0
abc000103,20,3,42.22530301274307,3,0,89,0,303.959105160418,0
abc000104,200,5,50.71524206056313,2,1,10,6,411.66981834191483,1
abc000105,10,2,76.46771323969077,3,0,8,6,787.7236850968235,0
abc000106,20,10,97.57119065412799,1,0,12,12,312.2674003397377,0
abc000107,100,10,33.529174152154646,4,0,64,0,1054.9191710622717,0
abc000108,10,2,92.32690245986862,3,0,118,12,126.78634393852366,0
abc000109,10,25,70.38168409178459,0,0,59,12,129.20189222769275,1
abc000110,10,1,69.47436967289366,2,0,195,12,234.92977880203043,0
abc000111,10,1,65.01949746454322,1,0,50,0,145.11000229958762,0
abc000112,200,1,34.85758601329284,0,0,151,6,0.4280236815504651,0
abc000113,100,10,36.29137962153125,3,0,40,6,394.7754022232131,0
abc000114,50,3,72.06384039613603,1,1,122,0,417.9558664317187,0
abc000115,100,1,53.86710000048908,1,0,97,6,412.2796255679674,0
abc000116,100,2,94.20876466043765,1,0,127,0,126.9454787765132,0
abc000117,10,3,58.46133761516306,4,0,87,0,221.62509679116098,0
abc000118,100,1,40.029702109184875,3,0,77,6,133.87371769065155,0
abc000119,20,10,80.03031834514252,0,0,121,18,4.849912354549095,0
abc000120,100,5,50.534739500870685,1,0,146,12,247.96856229861473,0
abc000121,100,3,66.78292151491252,4,0,149,0,39.634803938564104,1
abc000122,20,25,78.8482949853619,2,0,111,0,25.027958231570416,1
abc000123,10,2,93.01848778414492,1,0,129,18,422.5608483190108,0
abc000124,10,25,85.45338363611734,2,0,166,0,2.8655024308055737,0
abc000125,20,3,77.34527475109068,1,0,41,0,958.3167525488929,0
abc000126,100,3,77.57432276766005,3,0,170,6,217.2399151951553,1
abc000127,100,1,96.21472508224606,3,1,137,6,1222.6526743278948,0
abc000128,10,10,50.70768682475752,6,0,23,18,17.924228224864773,1
abc000129,20,2,30.077846593733117,1,0,78,0,262.78192966453685,0
abc000130,20,1,49.03681915787391,3,0,11,12,128.9244367225,1
abc000131,10,1,45.252396573872076,1,1,71,6,556.3762224771621,1
abc000132,10,3,76.32842095797987,4,0,159,12,134.45983614313946,1
abc000133,20,3,74.35981198358704,2,0,26,12,90.52926016973427,0
abc000134,200,5,71.54229678933066,3,1,30,18,584.6358511627552,1
abc000135,20,10,31.13704102466176,1,1,162,18,140.83461896282674,1
abc000136,20,1,81.01446381154533,2,0,174,0,5.092983151101098,0
abc000137,50,5,52.64712887398441,2,0,102,18,148.43111098801077,1
abc000138,20,1,76.55391923046417,2,0,69,6,318.84812768917567,0
abc000139,500,10,68.96048999515074,1,0,133,0,88.05352513823807,1
abc000140,200,5,53.9911647799535,4,1,189,0,169.68360485329896,1
abc000141,10,3,39.42033869728754,1,0,166,12,17.516088501354186,0
abc000142,20,5,36.609322836233666,1,1,156,12,266.087153136053,0
abc000143,20,2,88.20628331785565,2,0,154,12,423.5389467321206,0
abc000144,10,2,94.28782794570905,2,0,61,0,159.97892206265965,0
abc000145,10,5,75.48516327350097,5,0,106,18,163.53850408115906,0
abc000146,50,2,37.24038804023384,0,0,23,18,27.72752823383576,1
abc000147,20,2,58.14190518217685,0,0,174,18,67.67177389690931,0
abc000148,10,2,81.025744007361,2,0,113,0,50.410340633785935,0
abc000149,10,5,84.58746188070477,1,0,30,0,197.15323653292864,0
abc000150,200,2,38.2753035603762,4,0,67,0,226.03196459651738,0
abc000151,10,1,30.00215031917677,4,0,161,0,892.4269315045105,0
abc000152,10,5,79.84959321164234,2,0,131,0,22.815443859641675,1
abc000153,20,5,54.9617323190344,1,0,197,18,274.7882157665817,1
abc000154,500,1,47.81369321327821,1,0,121,0,224.28007685328367,0
abc000155,10,1,30.90282288526678,4,0,83,18,217.84562867429545,0
abc000156,50,1,67.82095847330498,1,0,170,0,619.4469633272496,0
abc000157,100,2,89.58055147981872,8,0,62,18,69.02721463298175,0
abc000158,10,2,97.03421523908115,0,0,186,6,12.488343963161963,0
abc000159,50,5,69.60214654293024,1,0,57,6,334.6709341691516,1
abc000160,20,3,66.0122929417926,3,0,1,18,127.00814265282587,0
abc000161,50,3,35.953946984246876,1,0,102,6,5.32393716008689,0
abc000162,50,2,68.42109610798198,3,0,188,6,86.85472870635834,0
abc000163,20,5,56.598535527577624,2,0,69,18,111.02654025769111,0
abc000164,10,2,72.49946966185038,2,1,59,0,287.789515825483,1
abc000165,100,25,57.21084435135827,1,0,46,0,56.83495671459297,0
abc000166,20,3,46.82093864152567,2,0,106,18,159.8469148174976,1
abc000167,10,1,36.647569265986355,0,0,34,12,197.60949137040717,0
abc000168,10,3,52.0442911212227,1,0,101,12,184.4324692439062,0
abc000169,50,2,36.76513840014266,0,1,97,6,1094.2149381034292,1
abc000170,50,3,42.38278655767888,5,0,153,12,13.971622688233147,0
abc000171,10,1,99.11353110056821,4,0,170,6,904.5857806420706,1
abc000172,20,1,61.087248983463304,3,0,29,0,261.6370955943704,0
abc000173,10,10,67.23102365535115,1,0,153,18,476.4904333676706,0
abc000174,50,1,91.15329701160508,2,0,182,0,168.84238770739879,0
abc000175,10,5,99.68982303434815,1,0,123,18,181.4518279604161,0
abc000176,50,2,70.79001145412771,4,0,73,12,634.4000158313802,1
abc000177,20,3,86.87316747309202,1,0,195,0,678.8204204285229,1
abc000178,200,3,52.88587170356727,0,0,143,0,81.81395281881132,0
abc000179,10,3,51.402077021310376,3,0,4,6,66.65890448503325,0
abc000180,20,2,58.189260469619214,1,0,38,18,205.69372038920184,0
abc000181,10,1,77.07550838715544,3,1,20,12,691.6077625721756,0
abc000182,200,1,77.75341824785691,0,0,113,0,116.73955944808031,0
abc000183,100,2,52.06676042546155,2,0,23,18,316.6784394571679,0
abc000184,10,3,39.32469468956401,2,0,165,12,369.4563270759881,0
abc000185,50,10,74.2677379525856,1,0,190,0,452.4364666190207,0
abc000186,100,10,38.982810353213516,3,0,111,18,248.98193669760056,0
abc000187,50,5,70.4944755760531,3,0,136,6,154.47779476719037,0
abc000188,20,5,78.53954896394163,1,0,165,0,1023.5197031963646,1
abc000189,10,3,79.04280474761161,1,0,45,18,283.5079687813547,0
abc000190,10,2,82.74304774617177,3,1,97,12,391.21000759086616,0
abc000191,100,10,91.10015950959652,1,0,33,12,126.92815617376392,0
abc000192,200,3,64.9971294375352,0,1,135,6,332.55259182526873,0
abc000193,50,3,81.11744326706997,1,0,22,0,89.44001414622625,1
abc000194,20,1,73.34209147560857,3,1,133,6,84.34977166816014,0
abc000195,20,2,43.06479578583778,4,0,15,18,376.28755288846247,0
abc000196,50,2,31.79827514085857,2,0,21,12,221.06373161141525,1
abc000197,100,10,49.91789699738536,0,0,126,6,344.9179422344091,0
abc000198,100,3,61.01235944363336,2,0,89,0,94.18255492777803,0
abc000199,100,2,73.19741611000595,1,0,17,18,273.9312501032783,0
abc000200,50,25,89.49715313522438,3,0,56,0,176.06029703552187,0
abc000201,10,1,43.737200169431595,2,0,50,6,272.61605342488593,1
abc000202,10,2,38.7884852928934,2,0,135,12,103.11904101437506,0
abc000203,100,1,97.44359632320293,2,0,118,12,377.0549041532862,0
abc000204,50,5,37.5631191563485,0,0,122,6,491.8599282668056,1
abc000205,10,10,63.49437490750324,3,0,50,0,90.29766779651392,0
abc000206,10,2,70.98946101553113,2,1,60,0,107.26855536126642,0
abc000207,50,10,67.89620946352068,0,0,125,0,324.663104428941,1
abc000208,10,2,36.02225099230603,2,1,116,0,356.8091848582104,1
abc000209,10,10,33.991883980253355,2,0,135,12,365.3197958974135,0
abc000210,20,5,37.3838399222725,2,0,168,0,344.370860420474,0
abc000211,50,5,70.99113787108288,2,0,173,6,149.67292861802974,0
abc000212,50,1,68.10414213440248,3,0,187,6,150.68549691151227,0
abc000213,10,25,46.36185544257209,1,0,88,6,88.23788702519545,1
abc000214,50,5,74.64418992919141,2,0,105,6,51.17732059919626,0
abc000215,10,2,87.40472514389546,2,0,55,0,353.85955911523246,0
abc000216,20,5,32.910527189261565,3,0,64,12,29.34629814928661,0
abc000217,50,2,64.86909604836296,2,0,193,18,833.1828840845427,1
abc000218,50,10,78.25172884718832,4,0,182,0,525.795615871451,0
abc000219,100,1,47.6618348948781,2,0,96,18,584.5360681459518,0
abc000220,50,5,51.54396337052044,1,0,168,12,711.4802935439994,1
abc000221,50,3,72.95465320925686,1,0,181,0,157.58132298289016,0
abc000222,10,1,92.85547054106158,0,0,44,18,562.608963493165,1
abc000223,20,1,86.69470942120296,2,0,191,12,51.61442117604746,0
abc000224,10,1,70.81911533697084,4,0,130,18,6.563823847062704,0
abc000225,10,2,81.11552024300744,1,0,149,6,460.9836711890756,1
abc000226,500,2,55.537572914545905,0,0,50,6,23.322517688302653,0
abc000227,20,3,74.86758696691304,2,0,111,12,1340.2666596752024,1
abc000228,100,2,62.63271137892899,0,0,180,12,336.99117668512343,0
abc000229,50,2,43.295529552029265,0,0,137,18,420.05678731879925,0
abc000230,100,5,79.121679171408,3,0,99,12,84.63084217247335,0
abc000231,20,1,68.95252461441754,2,0,148,6,336.13352422475765,0
abc000232,50,10,55.103510736751396,3,0,146,6,13.254520030467768,1
abc000233,20,10,93.79374330550415,1,1,84,0,545.7251157210925,0
abc000234,10,3,31.465388247871328,1,0,30,18,55.763034227329435,0
abc000235,50,3,52.10412058746472,2,0,65,12,358.56147330056416,1
abc000236,10,10,33.98169784443526,4,0,24,12,76.26664596105866,0
abc000237,10,1,83.65691213551389,3,0,175,12,21.272644750809054,0
abc000238,50,1,79.14752178796547,1,1,90,18,197.04091787472828,0
abc000239,10,1,53.19465531154219,4,0,106,6,55.6409880437494,1
abc000240,200,5,77.29640315449511,1,1,172,12,392.18284048391774,1
abc000241,200,1,57.71560583371649,3,0,157,12,81.37173786223737,1
abc000242,200,3,82.9377653995704,1,0,77,6,125.78063287080285,0
abc000243,20,50,61.79285639156943,1,0,68,12,251.409750890882,0
abc000244,10,10,58.85958094821659,2,0,109,0,100.62851107427329,0
abc000245,200,3,95.43109408418107,3,0,145,6,142.43882419611143,0
abc000246,20,1,47.56153699234902,1,0,97,6,507.2298117120333,0
abc000247,200,5,38.43131379975958,3,0,133,6,59.2463413770446,0
abc000248,200,3,70.91801792816207,2,1,92,0,25.733252658603586,1
abc000249,100,1,97.85252685989252,2,0,88,6,119.40884957900222,0
abc000250,10,1,56.44874496090307,2,0,50,18,165.69058251246827,0
abc000251,20,10,34.342573454014705,0,0,103,18,234.69798376892194,0
abc000252,100,3,53.75136871166972,5,0,112,18,139.76700469432217,0
abc000253,20,5,65.41521580236909,2,0,168,6,468.06820845301917,0
abc000254,10,10,41.33461046425496,2,0,46,6,12.034013590739436,0
abc000255,50,3,76.06715526395445,0,0,179,6,169.56740407548352,0
abc000256,200,3,99.84245723071405,4,0,11,0,144.50430260216115,0
abc000257,50,2,61.62176331870107,1,0,12,18,312.87820514395645,0
abc000258,50,2,54.83099897111488,1,0,141,12,1016.8658994991022,1
abc000259,10,2,58.049291678412665,5,1,64,12,214.234895246066,1
abc000260,50,5,38.06023248766408,0,0,8,6,1300.0131599326592,0
abc000261,500,3,91.82915209983567,2,0,193,0,107.96806181068328,0
abc000262,10,10,59.037795886494635,1,0,9,6,9.406377066826998,0
abc000263,20,2,57.109208799738894,3,0,130,12,54.335424669527164,1
abc000264,100,3,76.1783191051332,2,0,78,18,150.81997901221607,0
abc000265,50,3,60.94233946517865,5,0,141,12,114.08569556468859,0
abc000266,50,3,75.37634281654923,3,0,2,18,30.627801923998263,0
abc000267,50,5,34.301240309155126,2,0,196,18,170.03900925646937,0
abc000268,20,1,86.96063406055592,2,0,176,0,123.79938599990416,0
abc000269,10,3,95.83527670155819,1,0,74,12,39.24425899247842,0
abc000270,100,1,75.41357703115702,0,0,131,6,105.34299461299966,1
abc000271,100,2,96.81961502011676,1,0,196,0,652.6167635296064,1
abc000272,100,2,40.600262005897434,3,0,134,18,107.88185596044411,0
abc000273,200,3,63.41913326362476,1,1,87,12,375.48228525527935,1
abc000274,20,25,72.12647137618131,1,0,5,6,284.06138581355617,0
abc000275,20,3,70.72156531948306,0,0,131,0,167.15573310587075,0
abc000276,100,5,58.10232453623303,2,0,138,6,81.94668299927957,0
abc000277,50,3,53.6659086556383,3,0,171,12,138.14181360921586,0
abc000278,50,3,38.87768157852932,4,0,147,6,269.0252751676485,0
abc000279,100,1,57.421971539359475,2,1,14,0,129.58271397990723,1
abc000280,100,2,41.38625705738396,3,1,149,6,72.5818914448158,1
abc000281,20,2,81.4055973544553,3,0,124,12,37.1465475001356,0
abc000282,20,2,44.6181654846213,2,0,43,0,635.4969707142529,0
abc000283,10,1,34.09957136991737,3,0,28,18,174.1132610276369,0
abc000284,50,1,68.6656296472064,0,0,149,0,294.41547960615816,0
abc000285,10,2,71.66608129035811,2,0,164,12,202.24485204959657,0
abc000286,20,25,91.03391428963539,2,0,24,6,618.0482289403533,0
abc000287,20,2,70.38871286923774,4,0,182,18,237.51580507775282,0
abc000288,10,2,54.183659760641206,2,0,166,18,196.62909733747813,0
abc000289,50,1,86.21083170684244,2,0,17,6,775.4883418862938,0
abc000290,10,3,67.81952252311947,2,0,150,12,381.5573112863359,0
abc000291,10,2,35.549619924183425,2,0,83,0,35.48304099143453,0
abc000292,100,1,69.60953922192726,1,0,45,12,58.69662368601364,1
abc000293,20,3,93.56129817951637,2,0,74,18,464.11203030301806,0
abc000294,10,1,57.74188378487544,3,0,189,0,542.0948051042159,0
abc000295,20,1,50.742806132986004,1,0,139,0,236.36320577998512,0
abc000296,100,1,40.042861991261404,3,0,61,6,242.53726155152148,1
abc000297,10,1,40.60118653547501,3,0,38,12,299.84705737166826,0
abc000298,50,1,60.29400390392732,1,1,66,0,173.4722298081671,1
abc000299,10,2,71.69758769130706,1,0,33,6,342.0170213280669,1
abc000300,10,5,35.64307836187212,4,0,43,12,34.44864552558787,0
abc000301,20,3,95.7698012317616,2,0,159,18,975.4138349421584,0
abc000302,20,3,82.85935322116372,1,1,112,18,416.0741544426138,1
abc000303,50,2,71.06367427985639,1,0,35,12,299.2292532000435,1
abc000304,50,10,87.99070696572936,0,1,37,0,114.08049474670328,1
abc000305,500,2,35.61307297684793,2,0,175,0,52.64745589183728,1
abc000306,20,1,63.37872144131871,3,1,100,18,157.9559223206846,0
abc000307,20,3,74.10651888031643,2,0,23,18,325.03737602517407,0
abc000308,100,1,88.00570342828024,1,0,164,0,301.29876273685073,1
abc000309,10,2,84.84286920344874,1,1,168,12,144.6914483430784,0
abc000310,20,3,49.39484747993798,4,1,89,18,285.02126869754926,1
abc000311,10,10,95.8616118691443,1,0,15,0,504.1968811347481,0
abc000312,10,2,38.70420890016092,1,0,165,12,7.990917645744834,0
abc000313,200,5,91.25935330348065,3,0,132,6,179.69004504375926,0
abc000314,100,50,97.9658174723233,1,0,150,12,426.3343564039135,0
abc000315,50,1,42.40074662558379,1,0,22,0,236.99290453866283,0
abc000316,20,2,80.54462449426497,3,1,78,12,316.21453106148647,1
abc000317,10,2,32.81998631445989,2,0,145,0,218.1206565209495,0
abc000318,10,2,58.37959775974085,2,0,72,18,1443.826053970883,0
abc000319,10,2,66.13983094383718,2,0,98,6,16.850982352654196,0
abc000320,20,10,70.6451658136744,2,0,90,18,202.61859744026737,0
abc000321,50,5,95.51560737739916,3,0,109,18,28.76056190524895,1
abc000322,50,3,77.05754811059363,3,0,94,0,52.229440957757525,0
abc000323,10,2,63.68945658534659,5,0,80,0,144.8845239833995,0
abc000324,200,5,86.67725253861225,1,0,94,0,50.71740525444541,0
abc000325,50,25,96.53729746680862,3,0,80,0,994.6752135851846,0
abc000326,50,5,31.54463040776036,1,0,38,18,880.0514202827695,1
abc000327,50,1,98.7764890579227,0,1,152,0,122.89148189743348,0
abc000328,20,3,36.02924973445762,2,0,134,0,306.28520792466844,1
abc000329,10,1,87.00707454881329,3,0,196,18,228.91212898993209,0
abc000330,20,2,49.623432678598874,1,0,134,6,507.17320973213043,0
abc000331,100,1,39.252576042771025,4,0,26,6,296.2116713721803,0
abc000332,10,3,60.78989477996844,1,0,101,12,0.07574590876838168,0
abc000333,10,3,75.07696056133295,0,0,169,18,432.12936388329763,0
abc000334,10,1,56.66662915164325,2,0,75,0,412.1296977860094,1
abc000335,10,2,33.819578579788924,0,0,38,12,213.83524228058056,0
abc000336,100,2,71.96227977611017,4,0,83,6,699.6627965028921,1
abc000337,50,2,93.16822932774724,1,1,171,6,717.2485690510927,0
abc000338,20,1,56.825075616307615,2,0,181,18,222.6455666464648,0
abc000339,10,2,45.143294434157895,1,1,143,0,280.93902515535825,0
abc000340,20,5,60.980414215297074,1,0,56,0,1698.3955629474508,0
abc000341,20,1,33.38538977341466,1,0,105,12,106.4972951265178,0
abc000342,10,1,87.43413091361924,2,0,184,6,117.7427101180124,0
abc000343,20,2,87.84385676651307,1,0,31,12,60.551844444566356,0
abc000344,20,10,71.16003244007399,2,0,185,12,678.6257299323098,1
abc000345,50,3,54.71720222568726,3,0,179,12,409.34622895772657,0
abc000346,50,3,85.98483551120484,4,0,152,0,33.49502570359758,1
abc000347,10,2,68.8280917351857,2,0,58,6,1201.3624205331294,0
abc000348,20,3,87.81526159850114,2,1,73,12,393.87046820024955,0
abc000349,50,1,74.20211548081144,3,0,132,6,570.1820362267583,0
abc000350,20,3,84.9083831248958,3,0,10,6,14.804594617429183,1
abc000351,100,10,71.8994095252432,2,0,191,12,210.9355703693935,0
abc000352,50,3,58.98987477509664,3,0,73,12,359.7933925269445,0
abc000353,10,10,97.05621019482963,1,0,15,18,234.88650364296822,0
abc000354,10,5,67.87796774151913,4,0,98,0,329.5664062274776,1
abc000355,50,1,72.35626629783769,0,0,63,6,510.91706187119837,0
abc000356,10,10,45.434134759032446,5,0,19,12,140.68304763781143,0
abc000357,50,1,73.79555525990935,2,0,113,12,566.4850934131539,1
abc000358,200,3,70.01253546380607,1,0,63,6,53.34929407810534,0
abc000359,50,1,42.93868785629175,1,1,116,12,94.77757682061336,0
abc000360,20,1,34.17109681472006,1,0,184,18,13.293930632598741,0
abc000361,50,2,72.30515238003397,2,0,21,6,135.96840837804143,1
abc000362,20,2,83.45845885452243,1,1,162,12,143.3669748419214,1
abc000363,20,2,66.63809596454058,4,0,145,6,490.8433086363132,0
abc000364,200,3,45.8740837723752,3,0,146,12,317.64214241881155,0
abc000365,20,1,76.65653836851244,0,0,81,12,172.19489409488205,0
abc000366,200,1,35.60740086267216,2,0,66,0,316.7641132909511,0
abc000367,200,3,60.92835933613682,0,1,179,6,16.268231227895143,0
abc000368,10,2,41.43567308788941,0,0,65,0,59.6346405147334,1
abc000369,10,5,42.912133574191834,2,0,43,12,295.81112124891393,1
abc000370,10,3,44.160576441074255,3,0,57,6,307.6365580318091,0
abc000371,10,5,57.06949399307845,2,1,138,6,446.34488768360285,1
abc000372,10,3,33.58051439342783,2,0,37,18,154.75132859829307,0
abc000373,50,2,57.845540865036874,1,0,176,18,384.6387922681143,0
abc000374,10,3,65.81952129802906,0,1,120,12,345.58524857951903,1
abc000375,20,2,63.83059994764277,2,0,69,12,992.2578408246228,0
abc000376,100,2,56.79488702821284,3,0,56,12,72.67124054886186,0
abc000377,10,5,88.74026256495267,3,0,119,12,240.67411282877688,0
abc000378,100,2,40.172868469435286,3,0,164,18,276.21347843412065,0
abc000379,10,5,65.39877206469617,3,0,159,6,1981.8255591473805,1
abc000380,10,5,34.3428991869588,0,0,55,0,67.38744767032098,0
abc000381,50,10,34.980897521453684,1,0,38,6,222.2087872502262,0
abc000382,50,10,70.17060947739674,2,0,15,6,127.47939384079248,0
abc000383,100,2,69.62128974214747,1,0,144,18,223.89665342743413,1
abc000384,50,2,91.462345899112,4,0,77,6,79.2399031532931,0
abc000385,100,3,69.05115729620512,0,0,53,6,14.63494846284389,0
abc000386,10,2,97.18537142833951,1,1,184,12,254.98623325807068,0
abc000387,10,3,33.40863938799508,4,0,7,0,122.77612492414627,0
abc000388,100,5,36.86053793465187,1,1,185,6,60.24639268222986,1
abc000389,100,3,33.084610309926695,2,0,55,6,117.44006730866538,0
abc000390,500,2,42.9693795233478,4,0,52,0,15.160769579275328,1
abc000391,20,1,67.88890776591747,2,0,4,12,901.3848905190192,1
abc000392,20,2,75.19005269991996,3,0,43,18,261.071232124544,0
abc000393,100,1,33.19096105640681,1,0,40,18,505.84495916087354,0
abc000394,20,10,96.21796228919195,2,0,121,6,165.03536456838563,0
abc000395,200,2,88.95157636552668,1,1,30,12,700.8880707501286,1
